2025-08-03 10:51:09,830 | INFO     | root | 

--- Nouvelle session Notionator --- 2025-08-03 10:51:09 ---


2025-08-03 10:51:09,904 | INFO     | __main__ | === Lancement de Notionator ===
2025-08-03 10:51:09,979 | INFO     | __main__ | Application démarrée
2025-08-03 10:51:10,209 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 10:51:10,212 | INFO     | __main__ | Chargement cache local : 0.23 sec
2025-08-03 10:51:10,831 | INFO     | __main__ | Initialisation UI : 0.61 sec
2025-08-03 10:51:10,844 | INFO     | __main__ | Temps total d'ouverture : 0.94 sec
2025-08-03 10:51:12,911 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80b5-9514-ccef8de8e30e/query "HTTP/1.1 200 OK"
2025-08-03 10:51:12,912 | INFO     | services.notion_client | 0 cours mis à jour depuis 2025-08-03T06:48:34.326394+00:00
2025-08-03 10:51:12,912 | INFO     | services.data_manager | 0 cours mis à jour depuis la dernière sync
2025-08-03 10:51:12,913 | INFO     | __main__ | Changement d'écran vers : tous_les_semestres
2025-08-03 10:51:12,928 | INFO     | __main__ | Affichage du semestre all
2025-08-03 10:51:13,516 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80e3-979e-f0053a3bea4d/query "HTTP/1.1 200 OK"
2025-08-03 10:51:13,517 | INFO     | services.notion_client | 17 UE récupérées depuis Notion
2025-08-03 10:51:20,257 | INFO     | __main__ | Changement d'écran vers : semestre_11
2025-08-03 10:51:20,421 | INFO     | __main__ | Affichage du semestre 11
2025-08-03 10:51:21,948 | INFO     | __main__ | Changement d'écran vers : semestre_3
2025-08-03 10:51:21,959 | INFO     | __main__ | Affichage du semestre 3
2025-08-03 10:51:24,372 | INFO     | __main__ | Changement d'écran vers : semestre_12
2025-08-03 10:51:24,416 | INFO     | __main__ | Affichage du semestre 12
2025-08-03 10:51:26,529 | INFO     | __main__ | Changement d'écran vers : tous_les_semestres
2025-08-03 10:51:26,540 | INFO     | __main__ | Affichage du semestre all
2025-08-03 10:51:34,053 | INFO     | __main__ | Changement d'écran vers : colleges
2025-08-03 10:51:34,382 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 10:58:09,915 | INFO     | root | 

--- Nouvelle session Notionator --- 2025-08-03 10:58:09 ---


2025-08-03 10:58:10,011 | INFO     | __main__ | === Lancement de Notionator ===
2025-08-03 10:58:10,095 | INFO     | __main__ | Application démarrée
2025-08-03 10:58:10,371 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 10:58:10,375 | INFO     | __main__ | Chargement cache local : 0.28 sec
2025-08-03 10:58:11,032 | INFO     | __main__ | Initialisation UI : 0.65 sec
2025-08-03 10:58:11,045 | INFO     | __main__ | Temps total d'ouverture : 1.03 sec
2025-08-03 10:58:12,439 | INFO     | __main__ | Changement d'écran vers : colleges
2025-08-03 10:58:12,626 | INFO     | services.notion_client | Client Notion initialisé
2025-08-03 10:58:14,179 | INFO     | httpx | HTTP Request: POST https://api.notion.com/v1/databases/215b9fc3-1e69-80b5-9514-ccef8de8e30e/query "HTTP/1.1 200 OK"
